date,pm2_5,pm10,no2,so2,co,ozone,aqi
2014-01-01 00:00:00,122,250,53,62,3.58,154,164
2014-01-01 01:00:00,199,257,135,63,2.47,125,196
2014-01-01 02:00:00,112,240,155,70,2.08,45,146
2014-01-01 03:00:00,34,272,63,31,3.35,34,112
2014-01-01 04:00:00,126,155,145,112,1.23,48,131
2014-01-01 05:00:00,91,340,101,78,0.83,135,154
2014-01-01 06:00:00,208,116,172,115,2.05,100,175
2014-01-01 07:00:00,40,257,151,76,0.87,134,124
2014-01-01 08:00:00,122,92,43,102,1.56,50,103
2014-01-01 09:00:00,141,123,119,69,3.0,101,144
2014-01-01 10:00:00,230,297,27,35,1.01,191,195
2014-01-01 11:00:00,234,171,114,61,1.84,74,176
2014-01-01 12:00:00,94,238,139,40,2.74,170,157
2014-01-01 13:00:00,222,314,31,88,1.34,192,204
2014-01-01 14:00:00,107,122,46,73,3.51,37,115
2014-01-01 15:00:00,136,288,71,112,1.47,159,169
2014-01-01 16:00:00,119,108,140,92,3.91,115,147
2014-01-01 17:00:00,123,181,67,114,2.09,73,134
2014-01-01 18:00:00,171,179,120,29,4.65,170,187
2014-01-01 19:00:00,150,313,111,53,2.28,167,187
2014-01-01 20:00:00,169,296,136,87,2.92,191,207
2014-01-01 21:00:00,72,43,121,111,1.55,192,107
2014-01-01 22:00:00,21,307,70,107,0.65,25,99
2014-01-01 23:00:00,107,347,82,101,2.39,144,175
2014-01-02 00:00:00,177,129,73,85,2.81,129,157
2014-01-02 01:00:00,57,54,94,41,3.15,178,103
2014-01-02 02:00:00,149,175,159,75,4.91,18,167
2014-01-02 03:00:00,211,259,137,7,1.86,196,201
2014-01-02 04:00:00,207,325,37,72,4.18,71,204
2014-01-02 05:00:00,40,221,86,97,4.36,86,130
2014-01-02 06:00:00,180,166,112,58,3.18,183,180
2014-01-02 07:00:00,223,165,26,36,3.41,117,174
2014-01-02 08:00:00,77,234,37,33,4.52,194,151
2014-01-02 09:00:00,41,237,41,59,3.33,177,129
2014-01-02 10:00:00,108,257,94,115,1.48,24,135
2014-01-02 11:00:00,68,47,70,93,3.58,143,106
2014-01-02 12:00:00,238,270,59,94,2.93,17,193
2014-01-02 13:00:00,78,230,93,72,1.23,27,112
2014-01-02 14:00:00,189,132,167,10,2.12,84,157
2014-01-02 15:00:00,239,184,50,92,0.57,28,157
2014-01-02 16:00:00,207,55,125,52,1.81,57,140
2014-01-02 17:00:00,227,152,94,107,1.58,148,180
2014-01-02 18:00:00,34,340,143,26,1.8,70,130
2014-01-02 19:00:00,209,235,105,36,2.09,187,194
2014-01-02 20:00:00,209,345,107,119,4.9,39,225
2014-01-02 21:00:00,194,244,67,49,3.17,34,171
2014-01-02 22:00:00,209,107,10,93,3.19,131,160
2014-01-02 23:00:00,70,166,106,93,4.42,46,128
2014-01-03 00:00:00,127,199,168,96,1.02,101,148
2014-01-03 01:00:00,74,191,157,56,1.99,16,115
2014-01-03 02:00:00,83,323,81,85,3.44,173,171
2014-01-03 03:00:00,150,190,47,28,2.83,75,141
2014-01-03 04:00:00,248,102,65,10,4.42,180,192
2014-01-03 05:00:00,70,223,104,49,0.54,83,109
2014-01-03 06:00:00,154,252,147,24,0.5,177,167
2014-01-03 07:00:00,40,112,47,75,3.03,97,91
2014-01-03 08:00:00,92,323,103,114,2.71,61,159
2014-01-03 09:00:00,186,193,84,105,3.4,60,172
2014-01-03 10:00:00,37,227,151,64,0.58,115,111
2014-01-03 11:00:00,151,99,162,77,3.0,174,162
2014-01-03 12:00:00,108,295,96,19,1.65,140,152
2014-01-03 13:00:00,79,222,69,6,1.86,188,130
2014-01-03 14:00:00,33,64,107,89,0.37,181,81
2014-01-03 15:00:00,28,64,69,95,2.01,176,86
2014-01-03 16:00:00,109,77,27,91,3.77,76,113
